Name,Year of release,Rating,Genre,imdb Url,votes
Escape Room,(2019),6.4,"
Drama, Mystery, Sci-Fi            ",http://www.imdb.com/title/tt5886046/?ref_=adv_li_tt,"7,866"
Unbreakable,(2000),7.3,"
Drama, Mystery, Sci-Fi            ",http://www.imdb.com/title/tt0217869/?ref_=adv_li_tt,"332,421"
Stranger Things,(2016– ),8.9,"
Drama, Fantasy, Horror            ",http://www.imdb.com/title/tt4574334/?ref_=adv_li_tt,"556,856"
Spider-Man: Far From Home,(2019),NA,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt6320628/?ref_=adv_li_tt,NA
"Roswell, New Mexico",(2019– ),5.3,"
Drama, Romance, Sci-Fi            ",http://www.imdb.com/title/tt7588054/?ref_=adv_li_tt,"2,477"
The Boys,(2019– ),NA,"
Action, Drama, Sci-Fi            ",http://www.imdb.com/title/tt1190634/?ref_=adv_li_tt,NA
Venom,(2018),6.8,"
Action, Sci-Fi            ",http://www.imdb.com/title/tt1270797/?ref_=adv_li_tt,"227,668"
Agents of S.H.I.E.L.D.,(2013– ),7.5,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt2364582/?ref_=adv_li_tt,"178,959"
Incredibles 2,(2018),7.8,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt3606756/?ref_=adv_li_tt,"172,097"
Shazam!,(2019),NA,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt0448115/?ref_=adv_li_tt,NA
Ready Player One,(2018),7.5,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt1677720/?ref_=adv_li_tt,"274,896"
The 100,(2014– ),7.8,"
Drama, Mystery, Sci-Fi            ",http://www.imdb.com/title/tt2661044/?ref_=adv_li_tt,"168,019"
Supergirl,(2015– ),6.5,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt4016454/?ref_=adv_li_tt,"92,857"
The Handmaid's Tale,(2017– ),8.6,"
Drama, Sci-Fi            ",http://www.imdb.com/title/tt5834204/?ref_=adv_li_tt,"105,306"
Daredevil,(2015–2018),8.7,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt3322312/?ref_=adv_li_tt,"319,766"
Replicas,(2018),5.4,"
Sci-Fi, Thriller            ",http://www.imdb.com/title/tt4154916/?ref_=adv_li_tt,"8,768"
Ant-Man and the Wasp,(2018),7.1,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt5095030/?ref_=adv_li_tt,"190,701"
Future Man,(2017– ),7.9,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt4975856/?ref_=adv_li_tt,"13,442"
Deadpool 2,(2018),7.8,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt5463162/?ref_=adv_li_tt,"343,877"
Nightflyers,(2018– ),6,"
Horror, Sci-Fi            ",http://www.imdb.com/title/tt6903284/?ref_=adv_li_tt,"4,410"
Doctor Who,(2005– ),8.7,"
Adventure, Drama, Family            ",http://www.imdb.com/title/tt0436992/?ref_=adv_li_tt,"181,165"
Westworld,(2016– ),8.8,"
Drama, Mystery, Sci-Fi            ",http://www.imdb.com/title/tt0475784/?ref_=adv_li_tt,"326,653"
Rogue One,(2016),7.8,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt3748528/?ref_=adv_li_tt,"461,982"
Annihilation,(2018),6.9,"
Adventure, Drama, Horror            ",http://www.imdb.com/title/tt2798920/?ref_=adv_li_tt,"208,950"
Dark Phoenix,(2019),NA,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt6565702/?ref_=adv_li_tt,NA
