,Name,Year of release,Rating,Genre,imdb Url,votes,MovieID,Adventure,Drama,Comedy,Animation,Sci-fi,Thriller,Action,Mystery
133,Peaky Blinders,(2013– ),8.8,"
Crime, Drama            ",http://www.imdb.com/title/tt2442560/?ref_=adv_li_tt,"175,116",112,0,1,0,0,0,0,0,0
137,The Mule,(2018),7.2,"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt7959026/?ref_=adv_li_tt,"16,620",113,0,1,0,0,0,1,0,0
140,First Man,(2018),7.4,"
Biography, Drama, History            ",http://www.imdb.com/title/tt1213641/?ref_=adv_li_tt,"90,639",114,0,1,0,0,0,0,0,0
142,A Quiet Place,(2018),7.6,"
Drama, Horror, Mystery            ",http://www.imdb.com/title/tt6644200/?ref_=adv_li_tt,"270,504",115,0,1,0,0,0,0,0,1
144,Criminal Minds,(2005– ),8.1,"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0452046/?ref_=adv_li_tt,"135,214",116,0,1,0,0,0,0,0,1
145,Lucifer,(2015– ),8.2,"
Crime, Drama, Fantasy            ",http://www.imdb.com/title/tt4052886/?ref_=adv_li_tt,"131,048",117,0,1,0,0,0,0,0,0
147,Arctic,(2018),7.3,"
Drama            ",http://www.imdb.com/title/tt6820256/?ref_=adv_li_tt,945,118,0,1,0,0,0,0,0,0
149,Mary Queen of Scots,(2018),6.5,"
Biography, Drama, History            ",http://www.imdb.com/title/tt2328900/?ref_=adv_li_tt,"8,685",119,0,1,0,0,0,0,0,0
173,Escape Room,(2019),6.4,"
Drama, Mystery, Sci-Fi            ",http://www.imdb.com/title/tt5886046/?ref_=adv_li_tt,"7,866",120,0,1,0,0,0,0,0,1
174,Unbreakable,(2000),7.3,"
Drama, Mystery, Sci-Fi            ",http://www.imdb.com/title/tt0217869/?ref_=adv_li_tt,"332,421",121,0,1,0,0,0,0,0,1
175,Stranger Things,(2016– ),8.9,"
Drama, Fantasy, Horror            ",http://www.imdb.com/title/tt4574334/?ref_=adv_li_tt,"556,856",122,0,1,0,0,0,0,0,0
177,"Roswell, New Mexico",(2019– ),5.3,"
Drama, Romance, Sci-Fi            ",http://www.imdb.com/title/tt7588054/?ref_=adv_li_tt,"2,477",123,0,1,0,0,0,0,0,0
184,The 100,(2014– ),7.8,"
Drama, Mystery, Sci-Fi            ",http://www.imdb.com/title/tt2661044/?ref_=adv_li_tt,"168,019",124,0,1,0,0,0,0,0,1
186,The Handmaid's Tale,(2017– ),8.6,"
Drama, Sci-Fi            ",http://www.imdb.com/title/tt5834204/?ref_=adv_li_tt,"105,306",125,0,1,0,0,0,0,0,0
188,Replicas,(2018),5.4,"
Sci-Fi, Thriller            ",http://www.imdb.com/title/tt4154916/?ref_=adv_li_tt,"8,768",126,0,0,0,0,0,1,0,0
192,Nightflyers,(2018– ),6.0,"
Horror, Sci-Fi            ",http://www.imdb.com/title/tt6903284/?ref_=adv_li_tt,"4,410",127,0,0,0,0,0,0,0,0
